Complaint_ID,Date_Reported,Customer_ID,Region,Complaint_Type,Service_Type,Description,Priority,Status,Resolution_Date,Resolution_Time_Days,Customer_Satisfaction
COMP-00037,2025-02-20,CUST-3202,East,Slow Internet,Broadband,Customer reported no signal issue,Critical,Closed,2025-02-27,7.0,3.0
COMP-00038,2025-02-18,CUST-6023,Central,Service Outage,TV,Customer reported slow internet issue,Low,Closed,2025-03-03,13.0,1.0
COMP-00039,2025-03-10,CUST-9622,North,Slow Internet,TV,Customer reported call drop issue,Low,Closed,2025-03-15,5.0,1.0
COMP-00040,2025-01-31,CUST-1665,West,Call Drop,TV,Customer reported slow internet issue,Critical,Closed,2025-02-05,5.0,1.0
COMP-00041,2025-03-09,CUST-5828,North,SMS Failure,TV,Customer reported poor voice quality issue,High,Closed,2025-03-15,6.0,5.0
COMP-00042,2025-03-16,CUST-3351,East,No Signal,Mobile,Customer reported sms failure issue,High,Closed,2025-03-27,11.0,3.0
COMP-00043,2025-02-21,CUST-1838,South,Poor Voice Quality,Fixed Line,Customer reported call drop issue,Medium,In Progress,,,
COMP-00044,2025-01-12,CUST-8218,North,Billing Issue,Broadband,Customer reported slow internet issue,Low,Closed,2025-01-15,3.0,2.0
COMP-00045,2025-03-16,CUST-3803,Central,Service Outage,Broadband,Customer reported billing issue issue,Medium,Closed,2025-03-23,7.0,3.0
COMP-00046,2025-02-08,CUST-7966,East,Call Drop,Mobile,Customer reported service outage issue,Critical,Closed,2025-02-14,6.0,4.0
COMP-00047,2025-01-28,CUST-2651,South,Slow Internet,Broadband,Customer reported slow internet issue,High,Closed,2025-02-04,7.0,5.0
COMP-00048,2025-02-17,CUST-4022,East,No Signal,Fixed Line,Customer reported call drop issue,Critical,In Progress,,,
COMP-00049,2025-03-19,CUST-1720,Central,SMS Failure,Mobile,Customer reported slow internet issue,Critical,Closed,2025-03-29,10.0,5.0
COMP-00050,2025-03-04,CUST-4683,South,No Signal,Mobile,Customer reported call drop issue,Critical,Resolved,,,
COMP-00051,2025-03-01,CUST-7370,Central,Poor Voice Quality,TV,Customer reported poor voice quality issue,Medium,Closed,2025-03-11,10.0,1.0
COMP-00052,2025-03-11,CUST-9942,Central,No Signal,Fixed Line,Customer reported poor voice quality issue,Low,Closed,2025-03-20,9.0,2.0
COMP-00053,2025-03-29,CUST-4227,South,Service Outage,Fixed Line,Customer reported no signal issue,Medium,Resolved,,,
COMP-00054,2025-01-21,CUST-2189,Central,No Signal,Mobile,Customer reported poor voice quality issue,Low,Closed,2025-01-22,1.0,2.0
COMP-00055,2025-01-16,CUST-7441,East,No Signal,Fixed Line,Customer reported sms failure issue,Low,Closed,2025-01-17,1.0,4.0
COMP-00056,2025-03-18,CUST-3931,Central,Slow Internet,Mobile,Customer reported sms failure issue,Medium,Closed,2025-03-27,9.0,5.0
COMP-00057,2025-02-24,CUST-7395,East,Service Outage,TV,Customer reported sms failure issue,Low,Closed,2025-03-01,5.0,2.0
COMP-00058,2025-01-06,CUST-4700,West,Billing Issue,TV,Customer reported poor voice quality issue,Medium,Closed,2025-01-11,5.0,4.0
COMP-00059,2025-03-10,CUST-2670,South,Slow Internet,Mobile,Customer reported no signal issue,Medium,Closed,2025-03-15,5.0,1.0
COMP-00060,2025-01-14,CUST-5603,West,SMS Failure,Fixed Line,Customer reported service outage issue,Low,Closed,2025-01-14,0.0,2.0
COMP-00061,2025-03-11,CUST-6899,North,Slow Internet,Mobile,Customer reported poor voice quality issue,Low,Closed,2025-03-20,9.0,1.0
COMP-00062,2025-01-07,CUST-6980,East,Service Outage,Fixed Line,Customer reported billing issue issue,Low,Closed,2025-01-15,8.0,2.0
COMP-00063,2025-01-10,CUST-9369,Central,Call Drop,TV,Customer reported call drop issue,Medium,Closed,2025-01-17,7.0,4.0
COMP-00064,2025-01-06,CUST-5044,Central,No Signal,Broadband,Customer reported service outage issue,Medium,Closed,2025-01-10,4.0,3.0
COMP-00065,2025-03-06,CUST-8761,Central,Billing Issue,Fixed Line,Customer reported billing issue issue,Medium,Closed,2025-03-16,10.0,5.0
COMP-00066,2025-02-24,CUST-5121,West,Slow Internet,Broadband,Customer reported slow internet issue,Critical,Closed,2025-03-04,8.0,4.0
COMP-00067,2025-02-24,CUST-8483,Central,Service Outage,TV,Customer reported sms failure issue,Critical,Closed,2025-02-28,4.0,2.0
COMP-00068,2025-03-08,CUST-9215,South,Poor Voice Quality,Broadband,Customer reported call drop issue,Critical,Closed,2025-03-18,10.0,2.0
COMP-00069,2025-02-05,CUST-4065,West,Service Outage,Mobile,Customer reported call drop issue,Critical,Closed,,,5.0
COMP-00070,2025-01-25,CUST-7108,Central,Billing Issue,Fixed Line,Customer reported sms failure issue,Low,Closed,2025-01-28,3.0,5.0
COMP-00071,2025-01-31,CUST-7729,East,Call Drop,TV,Customer reported poor voice quality issue,High,Closed,2025-02-09,9.0,3.0
COMP-00072,2025-02-24,CUST-3157,South,Slow Internet,Mobile,Customer reported sms failure issue,Medium,Closed,2025-03-10,14.0,4.0
COMP-00073,2025-01-12,CUST-6137,East,Billing Issue,TV,Customer reported call drop issue,Medium,Closed,2025-01-23,11.0,3.0
COMP-00074,2025-01-28,CUST-8163,North,Poor Voice Quality,TV,Customer reported billing issue issue,Medium,Closed,2025-02-02,5.0,5.0
COMP-00075,2025-03-05,CUST-5206,South,Billing Issue,Mobile,Customer reported service outage issue,Medium,Closed,2025-03-08,3.0,4.0
COMP-00076,2025-01-09,CUST-3001,West,Billing Issue,Fixed Line,Customer reported call drop issue,Critical,Closed,2025-01-23,14.0,5.0
COMP-00077,2025-02-04,CUST-1432,North,Service Outage,Mobile,Customer reported sms failure issue,Critical,Closed,2025-02-09,5.0,2.0
COMP-00078,2025-03-24,CUST-7113,South,Poor Voice Quality,TV,Customer reported slow internet issue,Medium,Closed,2025-04-01,8.0,3.0
COMP-00079,2025-03-21,CUST-9090,South,Poor Voice Quality,Broadband,Customer reported poor voice quality issue,High,Closed,2025-04-03,13.0,1.0
COMP-00080,2025-01-26,CUST-3342,West,No Signal,Mobile,Customer reported slow internet issue,Low,Closed,2025-02-06,11.0,1.0
COMP-00081,2025-01-11,CUST-7164,East,Call Drop,Broadband,Customer reported sms failure issue,Medium,Closed,2025-01-18,7.0,2.0
COMP-00082,2025-03-03,CUST-4603,East,Poor Voice Quality,Broadband,Customer reported call drop issue,High,Closed,,,5.0
COMP-00083,2025-01-04,CUST-2305,West,Billing Issue,TV,Customer reported call drop issue,Critical,Resolved,,,
COMP-00084,2025-03-21,CUST-4709,South,No Signal,TV,Customer reported call drop issue,Critical,Closed,,,2.0
COMP-00085,2025-03-10,CUST-6065,West,Service Outage,Broadband,Customer reported slow internet issue,Critical,Closed,2025-03-24,14.0,2.0
COMP-00086,2025-02-07,CUST-4788,North,Slow Internet,Fixed Line,Customer reported call drop issue,Medium,Closed,2025-02-19,12.0,4.0
COMP-00087,2025-02-14,CUST-9651,Central,Call Drop,Broadband,Customer reported poor voice quality issue,Medium,Closed,2025-02-25,11.0,5.0
COMP-00088,2025-01-28,CUST-7197,East,SMS Failure,Mobile,Customer reported call drop issue,Medium,Closed,2025-02-07,10.0,2.0
COMP-00089,2025-01-08,CUST-1573,North,Slow Internet,Fixed Line,Customer reported call drop issue,Critical,Closed,2025-01-08,0.0,4.0
COMP-00090,2025-02-12,CUST-1679,West,Poor Voice Quality,Broadband,Customer reported poor voice quality issue,Low,Closed,2025-02-14,2.0,3.0
COMP-00091,2025-03-17,CUST-5677,West,Call Drop,Broadband,Customer reported slow internet issue,High,Closed,2025-03-25,8.0,3.0
COMP-00092,2025-01-02,CUST-9382,Central,Billing Issue,Broadband,Customer reported slow internet issue,Medium,In Progress,,,
COMP-00093,2025-02-16,CUST-7468,South,Call Drop,Fixed Line,Customer reported service outage issue,Critical,Closed,2025-02-17,1.0,4.0
COMP-00094,2025-01-07,CUST-6493,Central,Billing Issue,Fixed Line,Customer reported no signal issue,Medium,Closed,2025-01-10,3.0,2.0
COMP-00095,2025-03-29,CUST-8272,North,No Signal,TV,Customer reported call drop issue,High,Resolved,,,
COMP-00096,2025-01-06,CUST-7674,East,Billing Issue,TV,Customer reported call drop issue,Low,Closed,2025-01-08,2.0,3.0
COMP-00097,2025-03-23,CUST-5678,West,No Signal,Fixed Line,Customer reported billing issue issue,Medium,Closed,2025-03-28,5.0,2.0
COMP-00098,2025-01-07,CUST-5356,South,SMS Failure,Broadband,Customer reported billing issue issue,Medium,Closed,2025-01-11,4.0,4.0
COMP-00099,2025-02-03,CUST-8440,Central,SMS Failure,Fixed Line,Customer reported poor voice quality issue,Critical,Closed,2025-02-12,9.0,3.0
COMP-00100,2025-01-25,CUST-7489,East,Service Outage,Fixed Line,Customer reported call drop issue,High,Closed,2025-02-01,7.0,2.0
COMP-00101,2025-01-01,CUST-6741,East,Service Outage,Broadband,Customer reported billing issue issue,High,Closed,2025-01-14,13.0,4.0
COMP-00102,2025-01-20,CUST-1509,North,Poor Voice Quality,Mobile,Customer reported call drop issue,Medium,Closed,2025-01-31,11.0,1.0
COMP-00103,2025-01-23,CUST-1571,South,Poor Voice Quality,Fixed Line,Customer reported slow internet issue,Low,Closed,2025-02-02,10.0,1.0
COMP-00104,2025-03-30,CUST-1541,South,Slow Internet,Mobile,Customer reported no signal issue,High,Closed,2025-04-11,12.0,2.0
COMP-00105,2025-01-10,CUST-2551,North,Billing Issue,Mobile,Customer reported sms failure issue,Critical,Closed,2025-01-18,8.0,3.0
COMP-00106,2025-03-06,CUST-7074,West,SMS Failure,Mobile,Customer reported billing issue issue,Low,Closed,2025-03-12,6.0,1.0
COMP-00107,2025-03-12,CUST-4911,North,Billing Issue,Mobile,Customer reported no signal issue,High,Closed,2025-03-16,4.0,2.0
COMP-00108,2025-02-20,CUST-7947,East,No Signal,Mobile,Customer reported service outage issue,Critical,Closed,2025-03-05,13.0,4.0
COMP-00109,2025-03-12,CUST-1815,West,Poor Voice Quality,Fixed Line,Customer reported call drop issue,Low,Closed,2025-03-20,8.0,3.0
COMP-00110,2025-03-22,CUST-7824,Central,Service Outage,Mobile,Customer reported no signal issue,Medium,Closed,2025-04-05,14.0,4.0
COMP-00111,2025-01-22,CUST-4610,Central,No Signal,Mobile,Customer reported call drop issue,Medium,Closed,2025-02-02,11.0,4.0
COMP-00112,2025-02-18,CUST-5987,West,Service Outage,Fixed Line,Customer reported billing issue issue,Critical,Closed,2025-03-01,11.0,2.0
COMP-00113,2025-01-03,CUST-2766,Central,Slow Internet,TV,Customer reported service outage issue,Low,Closed,2025-01-14,11.0,3.0
COMP-00114,2025-01-18,CUST-4619,Central,Service Outage,Mobile,Customer reported sms failure issue,Medium,Closed,2025-01-28,10.0,1.0
COMP-00115,2025-03-24,CUST-5733,Central,No Signal,Mobile,Customer reported poor voice quality issue,Medium,Closed,2025-04-01,8.0,1.0
COMP-00116,2025-01-30,CUST-7301,North,SMS Failure,Mobile,Customer reported no signal issue,Low,Closed,2025-02-12,13.0,2.0
COMP-00117,2025-03-04,CUST-1799,West,No Signal,Mobile,Customer reported service outage issue,Low,Closed,,,4.0
COMP-00118,2025-02-14,CUST-2279,East,Poor Voice Quality,Fixed Line,Customer reported poor voice quality issue,Critical,Closed,2025-02-15,1.0,3.0
COMP-00119,2025-02-13,CUST-5796,North,SMS Failure,Fixed Line,Customer reported no signal issue,Medium,Closed,2025-02-23,10.0,3.0
COMP-00120,2025-01-25,CUST-8470,West,Poor Voice Quality,TV,Customer reported poor voice quality issue,Critical,Closed,2025-02-07,13.0,4.0
COMP-00121,2025-02-28,CUST-2644,South,Billing Issue,Broadband,Customer reported poor voice quality issue,Medium,Closed,2025-03-08,8.0,4.0
COMP-00122,2025-02-18,CUST-9181,Central,Billing Issue,Broadband,Customer reported sms failure issue,High,Closed,2025-02-26,8.0,5.0
COMP-00123,2025-02-15,CUST-4314,South,Slow Internet,Fixed Line,Customer reported service outage issue,Low,Closed,,,3.0
COMP-00124,2025-03-22,CUST-2963,Central,SMS Failure,Mobile,Customer reported no signal issue,Low,Closed,,,3.0
COMP-00125,2025-02-25,CUST-6587,South,SMS Failure,Broadband,Customer reported slow internet issue,Critical,Closed,2025-03-05,8.0,5.0
COMP-00126,2025-01-24,CUST-6347,West,No Signal,Broadband,Customer reported service outage issue,Critical,Resolved,,,
COMP-00127,2025-01-13,CUST-4069,South,Call Drop,TV,Customer reported billing issue issue,High,Closed,2025-01-20,7.0,3.0
COMP-00128,2025-03-06,CUST-3819,West,Service Outage,Fixed Line,Customer reported call drop issue,Critical,Closed,2025-03-11,5.0,1.0
COMP-00129,2025-01-29,CUST-4059,South,No Signal,Broadband,Customer reported call drop issue,High,Closed,2025-02-02,4.0,5.0
COMP-00130,2025-03-03,CUST-2767,South,Billing Issue,Mobile,Customer reported no signal issue,Critical,Closed,2025-03-12,9.0,5.0
COMP-00131,2025-03-10,CUST-4683,West,SMS Failure,TV,Customer reported billing issue issue,Critical,Closed,2025-03-22,12.0,2.0
COMP-00132,2025-02-26,CUST-5413,East,SMS Failure,TV,Customer reported poor voice quality issue,High,Closed,2025-02-28,2.0,2.0
COMP-00133,2025-02-13,CUST-9938,South,Poor Voice Quality,Fixed Line,Customer reported call drop issue,Low,Closed,2025-02-25,12.0,2.0
COMP-00134,2025-03-12,CUST-7847,West,Service Outage,Mobile,Customer reported no signal issue,Critical,Closed,2025-03-26,14.0,4.0
COMP-00135,2025-02-11,CUST-9310,Central,Slow Internet,Fixed Line,Customer reported no signal issue,Low,Closed,2025-02-15,4.0,5.0
COMP-00136,2025-01-24,CUST-6936,West,Poor Voice Quality,Fixed Line,Customer reported poor voice quality issue,Critical,Closed,2025-01-26,2.0,1.0
COMP-00137,2025-02-10,CUST-8960,North,Poor Voice Quality,TV,Customer reported slow internet issue,Critical,In Progress,,,
COMP-00138,2025-03-12,CUST-5426,South,Slow Internet,Fixed Line,Customer reported service outage issue,Low,Closed,2025-03-23,11.0,1.0
COMP-00139,2025-02-21,CUST-8107,North,Poor Voice Quality,Fixed Line,Customer reported slow internet issue,Medium,Closed,2025-03-07,14.0,3.0
COMP-00140,2025-01-03,CUST-7790,East,Service Outage,Mobile,Customer reported billing issue issue,High,Closed,,,3.0
COMP-00141,2025-01-04,CUST-5004,West,SMS Failure,Mobile,Customer reported billing issue issue,Medium,Closed,2025-01-11,7.0,3.0
COMP-00142,2025-02-12,CUST-6541,West,SMS Failure,Mobile,Customer reported billing issue issue,Critical,Closed,,,1.0
COMP-00143,2025-01-04,CUST-1105,West,Call Drop,Fixed Line,Customer reported service outage issue,High,Closed,2025-01-17,13.0,5.0
COMP-00144,2025-03-14,CUST-8536,West,Slow Internet,TV,Customer reported poor voice quality issue,High,Closed,2025-03-19,5.0,2.0
COMP-00145,2025-01-05,CUST-1203,North,SMS Failure,Broadband,Customer reported slow internet issue,High,In Progress,,,
COMP-00146,2025-01-31,CUST-9246,North,Slow Internet,Mobile,Customer reported billing issue issue,Medium,Closed,2025-02-02,2.0,3.0
COMP-00147,2025-02-01,CUST-8894,West,Service Outage,Broadband,Customer reported call drop issue,High,Closed,2025-02-14,13.0,4.0
COMP-00148,2025-03-12,CUST-7371,North,Poor Voice Quality,Mobile,Customer reported billing issue issue,Medium,Closed,2025-03-15,3.0,5.0
COMP-00149,2025-03-07,CUST-1407,West,No Signal,Mobile,Customer reported service outage issue,High,Open,,,
COMP-00150,2025-01-21,CUST-6807,West,Call Drop,Broadband,Customer reported sms failure issue,Low,Closed,2025-02-04,14.0,3.0
COMP-00151,2025-02-24,CUST-3832,East,SMS Failure,Fixed Line,Customer reported slow internet issue,Medium,Closed,2025-02-27,3.0,2.0
COMP-00152,2025-03-07,CUST-5830,South,No Signal,Broadband,Customer reported no signal issue,Low,Closed,2025-03-11,4.0,4.0
COMP-00153,2025-03-14,CUST-2799,South,No Signal,Fixed Line,Customer reported sms failure issue,Medium,Closed,2025-03-26,12.0,1.0
COMP-00154,2025-02-03,CUST-5646,East,Service Outage,Mobile,Customer reported call drop issue,Critical,Closed,2025-02-16,13.0,5.0
COMP-00155,2025-02-06,CUST-2109,Central,Poor Voice Quality,Mobile,Customer reported service outage issue,Medium,Closed,2025-02-14,8.0,1.0
COMP-00156,2025-02-28,CUST-6219,South,Slow Internet,Broadband,Customer reported sms failure issue,Medium,Closed,2025-03-12,12.0,3.0
COMP-00157,2025-02-03,CUST-7340,Central,Slow Internet,Fixed Line,Customer reported billing issue issue,Low,Closed,,,3.0
COMP-00158,2025-03-29,CUST-1739,East,Billing Issue,Mobile,Customer reported call drop issue,Medium,Closed,2025-03-31,2.0,5.0
COMP-00159,2025-02-16,CUST-2213,East,Call Drop,Fixed Line,Customer reported call drop issue,Critical,Closed,2025-02-22,6.0,5.0
COMP-00160,2025-02-24,CUST-8927,North,Poor Voice Quality,Broadband,Customer reported billing issue issue,Low,Closed,2025-02-28,4.0,4.0
COMP-00161,2025-02-25,CUST-1815,East,Service Outage,Mobile,Customer reported no signal issue,Critical,Closed,2025-03-11,14.0,1.0
COMP-00162,2025-01-22,CUST-2260,West,Call Drop,Broadband,Customer reported call drop issue,Low,Closed,2025-01-26,4.0,5.0
COMP-00163,2025-01-02,CUST-9785,West,SMS Failure,Broadband,Customer reported call drop issue,Low,In Progress,,,
COMP-00164,2025-03-21,CUST-4969,West,Service Outage,TV,Customer reported service outage issue,Medium,Closed,2025-03-28,7.0,5.0
COMP-00165,2025-01-10,CUST-9845,West,Billing Issue,Mobile,Customer reported billing issue issue,Medium,Closed,2025-01-21,11.0,5.0
COMP-00166,2025-02-08,CUST-3973,South,Poor Voice Quality,Mobile,Customer reported poor voice quality issue,High,Closed,2025-02-19,11.0,2.0
COMP-00167,2025-01-21,CUST-2331,South,SMS Failure,Mobile,Customer reported poor voice quality issue,Critical,Closed,2025-01-28,7.0,2.0
COMP-00168,2025-01-09,CUST-6359,West,Billing Issue,TV,Customer reported sms failure issue,Low,Closed,2025-01-18,9.0,1.0
COMP-00169,2025-03-07,CUST-8259,West,Slow Internet,Fixed Line,Customer reported slow internet issue,Low,Closed,2025-03-10,3.0,1.0
COMP-00170,2025-03-02,CUST-3987,West,Poor Voice Quality,TV,Customer reported slow internet issue,High,Open,,,
COMP-00171,2025-03-26,CUST-2867,East,Service Outage,Mobile,Customer reported sms failure issue,Low,Closed,2025-04-05,10.0,2.0
COMP-00172,2025-02-21,CUST-7084,South,Billing Issue,TV,Customer reported slow internet issue,High,Closed,2025-02-21,0.0,3.0
COMP-00173,2025-01-26,CUST-1596,West,No Signal,Mobile,Customer reported call drop issue,High,Closed,2025-02-06,11.0,2.0
COMP-00174,2025-02-23,CUST-8692,West,SMS Failure,Fixed Line,Customer reported call drop issue,Medium,Closed,2025-03-08,13.0,3.0
COMP-00175,2025-02-15,CUST-7419,North,SMS Failure,Fixed Line,Customer reported sms failure issue,Critical,In Progress,,,
COMP-00176,2025-01-18,CUST-6098,South,Service Outage,Fixed Line,Customer reported sms failure issue,Critical,Closed,2025-01-25,7.0,1.0
COMP-00177,2025-01-06,CUST-7041,West,Call Drop,TV,Customer reported billing issue issue,Low,Closed,2025-01-10,4.0,4.0
COMP-00178,2025-02-05,CUST-9600,West,Service Outage,Mobile,Customer reported poor voice quality issue,Medium,Closed,2025-02-12,7.0,3.0
COMP-00179,2025-02-10,CUST-5612,West,SMS Failure,Fixed Line,Customer reported slow internet issue,High,Closed,2025-02-17,7.0,4.0
COMP-00180,2025-03-02,CUST-3685,Central,Poor Voice Quality,Mobile,Customer reported sms failure issue,Low,Closed,,,3.0
COMP-00181,2025-03-23,CUST-6687,Central,SMS Failure,Mobile,Customer reported sms failure issue,Medium,Closed,2025-04-05,13.0,4.0
COMP-00182,2025-03-09,CUST-5975,West,Poor Voice Quality,TV,Customer reported billing issue issue,Low,Closed,2025-03-14,5.0,1.0
COMP-00183,2025-03-18,CUST-7060,West,Billing Issue,TV,Customer reported billing issue issue,Low,Closed,2025-03-28,10.0,3.0
COMP-00184,2025-03-27,CUST-3336,East,No Signal,Broadband,Customer reported no signal issue,Critical,Closed,2025-04-01,5.0,2.0
COMP-00185,2025-01-26,CUST-9058,West,Slow Internet,Fixed Line,Customer reported service outage issue,Critical,Closed,2025-01-27,1.0,1.0
COMP-00186,2025-03-02,CUST-1366,Central,No Signal,TV,Customer reported billing issue issue,High,Closed,,,2.0
COMP-00187,2025-01-31,CUST-2847,Central,SMS Failure,Fixed Line,Customer reported sms failure issue,Low,In Progress,,,
COMP-00188,2025-03-11,CUST-7311,South,Poor Voice Quality,Broadband,Customer reported service outage issue,Medium,Closed,,,3.0
COMP-00189,2025-02-18,CUST-1822,Central,Billing Issue,Fixed Line,Customer reported billing issue issue,High,Closed,2025-02-24,6.0,1.0
COMP-00190,2025-01-20,CUST-5043,West,No Signal,Broadband,Customer reported sms failure issue,High,Closed,,,2.0
COMP-00191,2025-01-26,CUST-3077,East,SMS Failure,Broadband,Customer reported slow internet issue,Medium,Closed,2025-02-04,9.0,4.0
COMP-00192,2025-02-23,CUST-4272,South,No Signal,Fixed Line,Customer reported slow internet issue,Critical,Closed,2025-02-23,0.0,4.0
COMP-00193,2025-01-12,CUST-4109,West,Call Drop,Broadband,Customer reported billing issue issue,Low,Closed,,,2.0
COMP-00194,2025-03-14,CUST-7327,Central,Slow Internet,Mobile,Customer reported call drop issue,High,Closed,2025-03-23,9.0,2.0
COMP-00195,2025-03-06,CUST-5365,East,Service Outage,Fixed Line,Customer reported service outage issue,Medium,Closed,2025-03-19,13.0,4.0
COMP-00196,2025-02-26,CUST-7141,North,Poor Voice Quality,Mobile,Customer reported service outage issue,High,Closed,2025-03-04,6.0,4.0
COMP-00197,2025-01-06,CUST-2011,East,SMS Failure,Broadband,Customer reported slow internet issue,High,Closed,2025-01-11,5.0,5.0
COMP-00198,2025-02-02,CUST-4037,Central,Call Drop,Broadband,Customer reported billing issue issue,Critical,Closed,2025-02-08,6.0,1.0
COMP-00199,2025-03-09,CUST-7254,Central,Poor Voice Quality,Broadband,Customer reported poor voice quality issue,Medium,Closed,2025-03-15,6.0,5.0
COMP-00200,2025-03-11,CUST-8222,North,Service Outage,Broadband,Customer reported slow internet issue,Medium,Closed,2025-03-17,6.0,2.0
COMP-00201,2025-02-13,CUST-8244,South,SMS Failure,Fixed Line,Customer reported sms failure issue,Critical,Closed,2025-02-18,5.0,1.0
COMP-00202,2025-03-15,CUST-4960,North,Slow Internet,Broadband,Customer reported slow internet issue,Medium,Open,,,
COMP-00203,2025-02-21,CUST-7560,South,Call Drop,Broadband,Customer reported service outage issue,Medium,Closed,2025-02-24,3.0,5.0
COMP-00204,2025-03-02,CUST-3268,East,Billing Issue,TV,Customer reported service outage issue,High,Closed,2025-03-15,13.0,3.0
